COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,90890,81833,0,496,234,4,4,4,1060,60,4,171,46,74181,0,5198,371,8491,4228,4220,43,566,"105Y02M"
63000,臺北市,64617,52256,0,2929,560,5,24,28,2130,92,12,356,22,35596,3,10189,310,9139,2439,6640,60,3222,"105Y02M"
68000,桃園市,102953,99999,0,105,165,2,0,0,347,33,0,66,53,92062,9,7105,52,2665,468,2189,8,289,"105Y02M"
66000,臺中市,86361,79583,0,635,238,0,3,0,980,64,4,296,64,75153,19,1627,500,6178,2711,3420,47,600,"105Y02M"
67000,臺南市,54164,51204,0,73,160,1,1,2,386,26,2,78,12,48973,16,1324,150,2797,1126,1651,20,163,"105Y02M"
64000,高雄市,57144,51207,0,505,377,2,0,0,836,66,1,210,25,47410,271,1388,116,5417,2629,2764,24,520,"105Y02M"
10002,宜蘭縣,11256,10539,0,8,8,0,0,0,87,8,1,37,7,10237,0,128,18,702,450,249,3,15,"105Y02M"
10004,新竹縣,25921,24510,0,109,208,0,1,0,220,10,0,67,11,23111,0,535,238,1259,855,399,5,152,"105Y02M"
10005,苗栗縣,18875,17927,0,24,58,1,0,0,65,7,1,15,4,17481,0,203,68,897,803,93,1,51,"105Y02M"
10007,彰化縣,44073,41963,0,7,6,0,0,0,137,5,0,21,18,41252,1,481,35,2071,1393,677,1,39,"105Y02M"
10008,南投縣,10601,9791,0,17,7,0,0,0,69,1,0,22,21,9467,0,143,44,787,501,279,7,23,"105Y02M"
10009,雲林縣,15682,14228,0,15,75,0,0,0,68,2,1,23,5,13717,0,122,200,1338,744,592,2,116,"105Y02M"
10010,嘉義縣,10509,9346,0,7,5,0,0,0,39,5,1,25,10,9146,10,78,20,1149,521,627,1,14,"105Y02M"
10013,屏東縣,13119,11500,0,13,5,0,0,0,66,10,1,40,14,11106,0,213,32,1584,1082,496,6,35,"105Y02M"
10014,臺東縣,2634,2370,0,7,4,0,0,0,45,3,1,25,0,2144,24,67,50,251,166,74,11,13,"105Y02M"
10015,花蓮縣,6429,5668,0,8,6,0,0,0,79,11,4,26,1,5130,0,242,161,731,123,595,13,30,"105Y02M"
10016,澎湖縣,2601,2530,0,0,0,0,0,0,16,0,0,4,1,2462,16,10,21,70,49,20,1,1,"105Y02M"
10017,基隆市,5335,4650,0,22,17,0,0,0,56,4,0,16,4,4274,35,106,116,663,396,251,16,22,"105Y02M"
10018,新竹市,15120,12307,0,139,548,1,1,0,422,12,1,105,3,10298,0,760,17,2383,865,1518,0,430,"105Y02M"
10020,嘉義市,3400,3027,0,19,11,0,0,0,83,1,0,30,7,2809,0,55,12,364,180,180,4,9,"105Y02M"
09020,金門縣,1106,1010,0,5,0,0,0,0,13,0,0,4,0,900,48,34,6,95,17,78,0,1,"105Y02M"
09007,連江縣,201,190,0,0,0,0,0,0,0,0,0,1,0,168,11,3,7,11,11,0,0,0,"105Y02M"
