COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,91143,82027,0,498,237,4,4,4,1035,52,3,176,47,74399,2,5204,362,8546,4294,4205,47,570,"105Y03M"
63000,臺北市,62379,51025,0,2703,523,7,26,25,1933,87,11,339,20,35767,2,9295,287,8967,2218,6690,59,2387,"105Y03M"
68000,桃園市,103292,100111,0,100,155,1,0,0,340,31,0,65,55,92147,9,7151,57,2915,456,2452,7,266,"105Y03M"
66000,臺中市,87009,79896,0,588,216,2,3,0,955,56,4,293,65,75593,19,1615,487,6576,2722,3809,45,537,"105Y03M"
67000,臺南市,54355,51327,0,65,147,0,1,2,380,26,2,80,16,49136,16,1306,150,2867,1139,1709,19,161,"105Y03M"
64000,高雄市,56914,50905,0,477,352,1,0,0,798,65,1,198,28,47232,271,1363,119,5554,2637,2894,23,455,"105Y03M"
10002,宜蘭縣,11366,10639,0,7,7,0,0,0,88,9,1,35,8,10333,0,129,22,711,457,251,3,16,"105Y03M"
10004,新竹縣,26017,24579,0,107,190,0,1,0,219,11,0,65,10,23234,0,512,230,1303,868,430,5,135,"105Y03M"
10005,苗栗縣,19187,18250,0,19,58,0,0,0,61,5,1,18,3,17809,0,200,76,890,795,94,1,47,"105Y03M"
10007,彰化縣,44298,42043,0,5,5,0,0,0,134,6,0,21,15,41340,1,482,34,2212,1395,815,2,43,"105Y03M"
10008,南投縣,10792,9897,0,15,6,0,0,0,62,1,0,23,18,9569,0,159,44,873,518,348,7,22,"105Y03M"
10009,雲林縣,15866,14279,0,13,70,0,0,0,65,3,1,23,5,13760,0,120,219,1489,730,758,1,98,"105Y03M"
10010,嘉義縣,10651,9465,0,7,4,0,0,0,41,5,1,22,9,9259,10,88,19,1169,528,640,1,17,"105Y03M"
10013,屏東縣,13365,11661,0,12,6,0,0,0,65,9,1,39,14,11281,0,201,33,1666,1105,557,4,38,"105Y03M"
10014,臺東縣,2689,2422,0,9,2,0,0,0,43,4,0,26,0,2194,25,72,47,255,168,76,11,12,"105Y03M"
10015,花蓮縣,6462,5696,0,9,4,1,0,0,77,11,4,26,1,5152,0,246,165,733,125,593,15,33,"105Y03M"
10016,澎湖縣,2658,2578,0,0,0,0,0,0,17,0,0,4,0,2508,16,10,23,79,50,28,1,1,"105Y03M"
10017,基隆市,5403,4696,0,21,19,0,0,0,54,4,0,15,3,4318,35,110,117,686,394,278,14,21,"105Y03M"
10018,新竹市,15033,12151,0,129,512,1,1,0,404,8,0,105,3,10276,0,695,17,2489,854,1635,0,393,"105Y03M"
10020,嘉義市,3449,3072,0,21,8,0,0,0,81,0,0,29,7,2858,0,55,13,368,180,184,4,9,"105Y03M"
09020,金門縣,1162,1016,0,6,0,0,0,0,13,0,0,4,0,904,50,33,6,145,17,128,0,1,"105Y03M"
09007,連江縣,201,188,0,0,0,0,0,0,0,0,0,1,0,166,12,3,6,13,13,0,0,0,"105Y03M"
