COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,97423,87730,0,661,260,3,6,2,1149,67,5,166,56,79065,3,5691,596,9086,4345,4684,57,607,"106Y04M"
63000,臺北市,67059,54183,0,3252,518,9,22,29,2162,102,16,320,24,36929,6,10393,401,9743,2259,7421,63,3133,"106Y04M"
68000,桃園市,110018,106430,0,122,179,2,0,0,364,34,0,76,53,97930,12,7577,81,3263,491,2763,9,325,"106Y04M"
66000,臺中市,95220,87731,0,585,271,2,3,0,979,61,5,332,98,82891,14,1937,553,6887,2767,4067,53,602,"106Y04M"
67000,臺南市,58082,54763,0,88,148,0,1,2,396,29,3,78,33,52364,45,1355,221,3144,1168,1960,16,175,"106Y04M"
64000,高雄市,61187,54470,0,469,455,2,0,0,826,79,1,201,32,50447,227,1557,174,6218,2752,3437,29,499,"106Y04M"
10002,宜蘭縣,12222,11473,0,7,7,0,0,0,96,9,1,37,8,11120,0,150,38,734,466,264,4,15,"106Y04M"
10004,新竹縣,28473,27006,0,115,219,0,0,0,252,13,0,57,9,25511,0,547,283,1296,884,405,7,171,"106Y04M"
10005,苗栗縣,20379,19571,0,19,62,0,0,0,61,7,2,18,2,18965,0,214,221,766,663,101,2,42,"106Y04M"
10007,彰化縣,48664,46210,0,12,8,0,0,0,147,7,0,19,12,45385,0,463,157,2417,1357,1057,3,37,"106Y04M"
10008,南投縣,11850,10927,0,12,6,0,0,0,72,1,0,20,18,10565,0,168,65,904,501,395,8,19,"106Y04M"
10009,雲林縣,17386,15835,0,16,43,0,1,0,62,3,0,23,7,15152,0,289,239,1423,625,796,2,128,"106Y04M"
10010,嘉義縣,11720,10332,0,8,7,0,1,0,48,5,0,18,12,10103,12,86,32,1371,526,843,2,17,"106Y04M"
10013,屏東縣,14416,12662,0,14,6,0,0,0,69,10,0,45,8,12188,5,272,45,1712,1064,641,7,42,"106Y04M"
10014,臺東縣,2710,2437,0,11,3,0,0,0,48,2,1,27,1,2174,26,89,55,258,169,79,10,15,"106Y04M"
10015,花蓮縣,6859,5933,0,12,4,0,0,0,69,13,3,31,4,5358,0,284,155,897,97,785,15,29,"106Y04M"
10016,澎湖縣,2608,2548,0,1,0,0,0,0,17,0,0,3,1,2446,24,15,41,60,36,23,1,0,"106Y04M"
10017,基隆市,5932,5251,0,30,12,0,0,0,56,4,0,11,2,4816,30,131,159,659,340,306,13,22,"106Y04M"
10018,新竹市,16012,12873,0,141,519,1,0,0,420,6,1,95,5,10899,1,761,24,2701,895,1806,0,438,"106Y04M"
10020,嘉義市,3517,3147,0,18,9,0,0,0,72,2,0,26,9,2924,0,63,24,364,164,198,2,6,"106Y04M"
09020,金門縣,1046,915,0,7,0,0,0,0,12,0,0,3,0,805,54,23,11,130,18,112,0,1,"106Y04M"
09007,連江縣,210,201,0,0,0,0,0,0,1,0,0,0,0,165,18,5,12,9,9,0,0,0,"106Y04M"
