COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,112151,102182,0,777,384,5,7,7,1363,85,7,211,74,88672,10,8556,2024,9302,3687,5432,183,667,"109Y02M"
63000,臺北市,73223,61355,2,3351,663,13,24,30,2085,131,9,255,30,39308,18,13678,1758,8738,2007,6571,160,3130,"109Y02M"
68000,桃園市,125065,121074,1,151,218,2,0,1,403,39,1,77,59,109679,14,8468,1961,3592,623,2930,39,399,"109Y02M"
66000,臺中市,109744,102349,0,640,385,3,2,0,1119,77,4,284,87,95444,31,3000,1273,6721,2701,3848,172,674,"109Y02M"
67000,臺南市,65656,61409,0,85,188,1,4,1,454,34,2,73,56,57829,42,1655,985,4034,1144,2846,44,213,"109Y02M"
64000,高雄市,72107,63652,0,381,493,0,0,0,842,80,1,202,44,58041,214,2394,960,7912,2638,5230,44,543,"109Y02M"
10002,宜蘭縣,13470,12627,0,15,13,0,0,0,95,9,1,32,8,12196,0,215,43,817,541,270,6,26,"109Y02M"
10004,新竹縣,33364,31223,0,155,323,1,2,0,306,13,0,63,19,29129,0,611,601,1909,788,1104,17,232,"109Y02M"
10005,苗栗縣,22750,21892,0,25,60,1,0,0,79,5,1,17,3,20833,0,361,507,809,396,383,30,49,"109Y02M"
10007,彰化縣,55547,52971,0,13,9,0,0,0,129,10,0,34,8,51737,0,615,416,2525,1530,990,5,51,"109Y02M"
10008,南投縣,14271,13355,0,16,5,0,0,0,74,4,0,19,16,12515,0,313,393,899,442,442,15,17,"109Y02M"
10009,雲林縣,21339,20044,0,22,36,0,0,0,72,6,1,20,25,18821,0,788,253,1189,451,714,24,106,"109Y02M"
10010,嘉義縣,14998,12821,0,12,6,0,0,0,33,5,0,30,13,12437,20,125,140,2145,633,1497,15,32,"109Y02M"
10013,屏東縣,17264,15546,0,20,11,0,0,0,66,15,0,56,9,14901,1,268,199,1675,1037,631,7,43,"109Y02M"
10014,臺東縣,2768,2571,0,19,3,0,1,0,68,0,1,21,3,2221,24,109,101,179,141,20,18,18,"109Y02M"
10015,花蓮縣,7130,6399,0,14,6,1,0,0,75,13,3,31,5,5417,0,394,440,708,78,612,18,23,"109Y02M"
10016,澎湖縣,2873,2839,0,2,0,0,0,0,19,0,0,2,1,2736,11,14,54,32,20,11,1,2,"109Y02M"
10017,基隆市,7136,6193,0,30,6,0,0,0,54,4,0,6,2,5555,24,186,326,921,262,638,21,22,"109Y02M"
10018,新竹市,18675,15400,0,152,597,2,1,0,426,5,0,100,5,12794,0,1045,273,2807,937,1853,17,468,"109Y02M"
10020,嘉義市,3953,3641,0,19,22,0,0,0,82,5,0,31,7,3272,0,100,103,294,146,139,9,18,"109Y02M"
09020,金門縣,1204,1154,0,2,5,0,0,0,13,0,0,4,1,998,49,37,45,48,21,27,0,2,"109Y02M"
09007,連江縣,241,237,0,0,0,0,0,0,0,0,0,0,0,189,29,5,14,4,4,0,0,0,"109Y02M"
