COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,91100,82672,0,543,247,5,3,4,1045,57,4,154,52,75004,2,5154,398,7854,4291,3517,46,574,"105Y06M"
63000,臺北市,61361,50946,0,2926,524,7,23,28,1783,83,12,335,23,35678,2,9225,297,7984,2141,5791,52,2431,"105Y06M"
68000,桃園市,103707,100862,0,112,168,2,0,0,345,36,0,61,55,92768,12,7219,84,2566,471,2088,7,279,"105Y06M"
66000,臺中市,87659,81343,0,609,236,1,1,0,871,65,5,288,78,77030,16,1599,544,5818,2650,3119,49,498,"105Y06M"
67000,臺南市,55218,52489,0,71,161,0,2,2,377,28,3,76,17,50236,17,1344,155,2570,1125,1427,18,159,"105Y06M"
64000,高雄市,57294,51845,0,478,368,1,0,0,725,60,1,187,26,48249,267,1338,145,4988,2639,2328,21,461,"105Y06M"
10002,宜蘭縣,11351,10689,0,5,6,0,0,0,88,8,0,37,8,10383,0,133,21,646,454,189,3,16,"105Y06M"
10004,新竹縣,26592,25231,0,109,215,0,1,0,230,9,0,64,10,23793,0,519,281,1209,851,354,4,152,"105Y06M"
10005,苗栗縣,19631,18742,0,22,56,0,0,0,61,7,2,16,2,18264,0,200,112,846,764,81,1,43,"105Y06M"
10007,彰化縣,45127,43041,0,6,3,0,0,0,124,6,0,22,13,42310,1,488,68,2052,1413,637,2,34,"105Y06M"
10008,南投縣,10902,10076,0,16,7,0,0,0,64,0,0,23,18,9745,0,156,47,802,509,286,7,24,"105Y06M"
10009,雲林縣,16060,14616,0,14,62,0,0,0,68,3,1,20,5,14069,0,130,244,1342,702,639,1,102,"105Y06M"
10010,嘉義縣,10736,9658,0,7,3,0,0,0,35,3,1,20,11,9463,9,86,20,1056,518,537,1,22,"105Y06M"
10013,屏東縣,13629,12055,0,10,6,0,0,0,66,10,0,36,11,11641,0,227,48,1529,1072,451,6,45,"105Y06M"
10014,臺東縣,2627,2380,0,7,3,0,0,0,41,4,0,24,0,2162,27,64,48,238,172,55,11,9,"105Y06M"
10015,花蓮縣,6349,5725,0,11,4,1,0,0,70,10,4,30,3,5205,0,235,152,596,116,465,15,28,"105Y06M"
10016,澎湖縣,2613,2539,0,0,0,0,0,0,17,0,0,2,1,2469,14,11,25,74,50,23,1,0,"105Y06M"
10017,基隆市,5511,4867,0,18,15,0,0,0,53,4,0,10,3,4491,38,112,123,626,378,234,14,18,"105Y06M"
10018,新竹市,14962,12385,0,153,537,1,1,0,375,10,1,97,4,10418,0,761,27,2200,837,1363,0,377,"105Y06M"
10020,嘉義市,3379,3034,0,20,9,0,0,0,79,2,0,26,8,2824,1,48,17,340,174,165,1,5,"105Y06M"
09020,金門縣,1130,1010,0,4,0,0,0,0,11,0,0,4,0,899,50,36,6,119,17,101,1,1,"105Y06M"
09007,連江縣,200,188,0,0,0,0,0,0,0,0,0,0,0,163,14,4,7,12,12,0,0,0,"105Y06M"
