COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,101023,91241,0,622,269,4,6,3,1092,67,7,154,60,82331,10,5980,636,9138,4042,5037,59,644,"106Y12M"
63000,臺北市,65388,53427,1,2649,511,12,21,24,1759,102,12,289,23,37146,11,10478,389,9364,2055,7239,70,2597,"106Y12M"
68000,桃園市,113899,110004,0,108,152,2,0,0,354,32,1,71,51,101416,15,7571,231,3586,536,3038,12,309,"106Y12M"
66000,臺中市,100414,92888,0,503,249,2,3,0,898,68,5,303,95,88132,21,2085,524,7025,2667,4300,58,501,"106Y12M"
67000,臺南市,59265,55619,0,62,158,0,3,2,381,34,3,81,34,53264,46,1281,270,3466,1104,2343,19,180,"106Y12M"
64000,高雄市,63689,56499,0,370,343,2,0,0,719,73,1,184,37,52563,228,1714,265,6718,2626,4063,29,472,"106Y12M"
10002,宜蘭縣,12644,11866,0,9,6,0,0,0,84,7,1,28,8,11539,0,157,27,762,451,299,12,16,"106Y12M"
10004,新竹縣,30355,28643,0,129,209,0,1,0,236,10,0,53,9,27197,0,509,290,1547,892,644,11,165,"106Y12M"
10005,苗栗縣,21276,20556,0,19,62,0,0,0,61,7,2,14,2,19847,0,218,324,678,565,111,2,42,"106Y12M"
10007,彰化縣,50993,48443,0,8,9,0,0,0,132,6,0,27,11,47631,0,470,149,2519,1309,1208,2,31,"106Y12M"
10008,南投縣,12252,11274,0,14,6,0,0,0,70,2,0,21,17,10874,0,198,72,958,463,490,5,20,"106Y12M"
10009,雲林縣,18582,16949,0,18,45,0,0,0,60,4,0,26,16,16253,0,299,228,1504,604,898,2,129,"106Y12M"
10010,嘉義縣,13006,11189,0,10,5,0,0,0,36,7,0,20,12,10967,12,86,34,1799,546,1251,2,18,"106Y12M"
10013,屏東縣,15102,13315,0,14,5,0,0,0,64,9,0,52,6,12800,5,272,88,1751,1011,733,7,36,"106Y12M"
10014,臺東縣,2691,2448,0,12,3,0,1,0,53,1,1,21,3,2191,24,73,65,229,161,58,10,14,"106Y12M"
10015,花蓮縣,6975,6055,0,15,2,0,0,0,80,11,3,31,3,5349,0,305,256,890,87,789,14,30,"106Y12M"
10016,澎湖縣,2803,2758,0,1,0,0,0,0,15,0,0,1,1,2667,17,16,40,44,22,22,0,1,"106Y12M"
10017,基隆市,6288,5437,0,30,13,0,0,0,47,4,0,9,2,4981,14,166,171,829,289,526,14,22,"106Y12M"
10018,新竹市,16101,12999,0,116,490,2,1,0,359,6,1,113,4,11132,0,739,36,2720,831,1887,2,382,"106Y12M"
10020,嘉義市,3669,3279,0,11,7,1,0,0,61,5,0,34,8,3039,1,76,36,377,153,220,4,13,"106Y12M"
09020,金門縣,1102,1003,0,5,1,0,0,0,14,0,0,3,0,880,52,36,12,98,15,83,0,1,"106Y12M"
09007,連江縣,219,210,0,0,0,0,0,0,0,0,0,0,0,167,27,4,12,9,9,0,0,0,"106Y12M"
