COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,106713,96149,0,646,336,3,3,5,1208,64,8,161,74,86184,20,6650,787,9948,4106,5780,62,616,"107Y09M"
63000,臺北市,70334,57096,0,3165,582,15,20,25,2079,102,12,263,29,37926,7,12308,563,9914,2132,7706,76,3324,"107Y09M"
68000,桃園市,119965,115255,0,148,243,2,0,0,374,49,1,70,63,105601,13,7958,733,4375,574,3785,16,335,"107Y09M"
66000,臺中市,108551,100586,0,604,304,3,4,0,1036,79,4,283,96,94848,27,2447,851,7351,2690,4601,60,614,"107Y09M"
67000,臺南市,62621,58448,0,71,154,0,2,2,414,33,1,74,45,55839,47,1410,356,4006,1111,2878,17,167,"107Y09M"
64000,高雄市,68732,60702,0,379,433,2,0,0,801,82,1,167,36,56071,238,1986,506,7516,2589,4895,32,514,"107Y09M"
10002,宜蘭縣,13108,12233,0,9,8,0,0,0,91,8,1,29,7,11883,0,172,25,854,496,351,7,21,"107Y09M"
10004,新竹縣,32075,30162,0,162,262,0,2,0,282,11,0,44,20,28391,0,563,425,1709,864,833,12,204,"107Y09M"
10005,苗栗縣,21677,20910,0,25,59,0,0,0,69,7,2,20,2,20068,0,262,396,722,485,235,2,45,"107Y09M"
10007,彰化縣,53813,51041,0,7,7,0,0,0,134,9,0,25,8,50204,0,519,128,2730,1410,1318,2,42,"107Y09M"
10008,南投縣,12918,11907,0,13,7,0,0,0,66,2,0,25,18,11370,0,220,186,994,431,556,7,17,"107Y09M"
10009,雲林縣,19667,18000,0,22,37,0,0,0,66,3,0,21,18,17136,0,440,257,1551,562,984,5,116,"107Y09M"
10010,嘉義縣,14355,12107,0,10,6,0,0,0,37,7,0,23,14,11843,12,98,57,2222,575,1642,5,26,"107Y09M"
10013,屏東縣,16132,14268,0,15,12,0,0,0,66,8,0,51,11,13733,2,266,104,1828,1057,764,7,36,"107Y09M"
10014,臺東縣,2697,2498,0,14,3,0,1,0,66,1,0,21,3,2203,29,83,74,175,142,23,10,24,"107Y09M"
10015,花蓮縣,7319,6388,0,13,5,0,0,0,70,13,3,26,4,5578,0,367,309,905,77,813,15,26,"107Y09M"
10016,澎湖縣,2884,2832,0,1,0,1,0,0,18,0,0,0,1,2719,25,21,46,51,19,31,1,1,"107Y09M"
10017,基隆市,6658,5771,0,26,8,0,0,0,56,5,0,8,2,5250,13,184,219,871,263,592,16,16,"107Y09M"
10018,新竹市,17871,14361,0,165,564,2,1,0,412,11,1,116,5,12129,0,910,45,3058,906,2149,3,452,"107Y09M"
10020,嘉義市,3799,3436,0,11,12,0,0,0,77,7,0,28,7,3166,0,83,45,336,143,190,3,27,"107Y09M"
09020,金門縣,1123,1049,0,5,2,0,0,0,37,0,0,2,0,928,53,12,10,73,18,55,0,1,"107Y09M"
09007,連江縣,240,234,0,0,0,0,0,0,2,0,0,0,0,188,30,3,11,6,6,0,0,0,"107Y09M"
