COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,94891,85420,0,566,236,3,5,2,1032,59,4,154,56,77415,2,5417,469,8861,4314,4500,47,610,"105Y12M"
63000,臺北市,63474,51252,0,2617,487,8,21,24,1890,87,17,327,18,36308,3,9102,343,9525,2084,7388,53,2697,"105Y12M"
68000,桃園市,106831,103410,0,105,144,2,0,0,349,33,0,65,56,95295,12,7281,68,3121,479,2632,10,300,"105Y12M"
66000,臺中市,92200,84942,0,488,241,2,2,0,900,60,3,333,82,80560,15,1703,553,6735,2701,3986,48,523,"105Y12M"
67000,臺南市,57074,53811,0,58,143,1,1,1,369,29,2,86,24,51547,35,1337,178,3088,1136,1935,17,175,"105Y12M"
64000,高雄市,59872,53232,0,409,348,2,0,0,750,65,1,189,17,49650,228,1427,146,6174,2697,3453,24,466,"105Y12M"
10002,宜蘭縣,11822,11068,0,4,5,0,0,0,88,8,1,38,9,10748,0,140,27,734,460,269,5,20,"105Y12M"
10004,新竹縣,27141,25737,0,110,189,0,1,0,218,11,0,65,10,24380,0,478,275,1255,865,384,6,149,"105Y12M"
10005,苗栗縣,19918,19072,0,14,52,0,0,0,63,5,1,19,2,18558,0,202,156,801,704,95,2,45,"105Y12M"
10007,彰化縣,47084,44730,0,9,6,0,0,0,136,7,0,19,11,43976,0,491,75,2308,1399,907,2,46,"105Y12M"
10008,南投縣,11484,10556,0,12,8,0,0,0,66,0,0,26,13,10202,0,172,57,902,505,390,7,26,"105Y12M"
10009,雲林縣,16825,15269,0,13,48,0,0,0,62,3,0,20,7,14667,0,198,251,1430,653,776,1,126,"105Y12M"
10010,嘉義縣,11470,10008,0,6,4,0,1,0,41,3,1,20,10,9805,11,80,26,1444,520,923,1,18,"105Y12M"
10013,屏東縣,13964,12193,0,11,8,0,0,0,66,10,0,50,7,11729,4,273,35,1722,1074,645,3,49,"105Y12M"
10014,臺東縣,2688,2403,0,8,4,0,0,0,48,3,1,23,1,2156,24,82,53,270,183,77,10,15,"105Y12M"
10015,花蓮縣,6663,5788,0,8,2,1,0,0,76,9,4,30,3,5235,0,270,150,848,104,730,14,27,"105Y12M"
10016,澎湖縣,2489,2417,0,1,0,0,0,0,16,0,0,3,0,2344,13,10,30,72,44,27,1,0,"105Y12M"
10017,基隆市,5641,4968,0,26,15,0,0,0,57,3,0,12,3,4558,32,118,144,650,347,287,16,23,"105Y12M"
10018,新竹市,15081,12178,0,127,450,1,0,0,370,8,1,109,5,10447,1,639,20,2532,839,1693,0,371,"105Y12M"
10020,嘉義市,3503,3115,0,19,7,0,0,0,76,2,1,30,7,2891,0,64,18,381,165,214,2,7,"105Y12M"
09020,金門縣,1070,912,0,7,0,0,0,0,10,0,0,5,0,801,57,24,8,157,19,137,1,1,"105Y12M"
09007,連江縣,190,176,0,0,0,0,0,0,1,0,0,0,0,146,15,4,10,14,13,1,0,0,"105Y12M"
