COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,106779,96365,0,629,330,3,4,6,1233,58,8,179,73,86044,17,6932,849,9793,3877,5842,74,621,"108Y02M"
63000,臺北市,70011,57315,2,2748,562,12,21,23,2071,113,10,234,26,38802,10,12062,619,9617,2041,7490,86,3079,"108Y02M"
68000,桃園市,119970,115095,0,130,252,1,0,0,388,54,1,64,55,105196,12,7932,1010,4511,564,3931,16,364,"108Y02M"
66000,臺中市,108532,100736,0,579,315,3,2,0,1026,78,6,291,94,94891,24,2498,929,7188,2691,4429,68,608,"108Y02M"
67000,臺南市,63226,58911,0,63,143,0,2,2,423,35,1,78,43,56078,48,1504,491,4122,1067,3035,20,193,"108Y02M"
64000,高雄市,69335,61083,0,352,429,1,0,0,782,75,1,181,32,56469,233,2045,483,7736,2543,5158,35,516,"108Y02M"
10002,宜蘭縣,13172,12358,0,13,5,0,0,0,91,10,0,32,6,11979,0,194,28,791,485,299,7,23,"108Y02M"
10004,新竹縣,32280,30104,0,136,255,0,1,0,289,9,0,38,17,28289,0,619,451,1977,810,1157,10,199,"108Y02M"
10005,苗栗縣,21678,20768,0,23,53,1,0,0,71,7,2,18,4,19913,0,243,433,872,446,423,3,38,"108Y02M"
10007,彰化縣,54014,51101,0,11,5,0,0,0,134,9,0,24,6,50249,0,534,129,2870,1422,1444,4,43,"108Y02M"
10008,南投縣,13309,12331,0,14,7,0,0,0,70,3,0,24,18,11742,0,265,188,959,418,535,6,19,"108Y02M"
10009,雲林縣,20060,18545,0,25,30,0,0,0,66,5,1,22,19,17603,0,559,215,1406,503,898,5,109,"108Y02M"
10010,嘉義縣,14430,12251,0,8,5,0,0,0,38,7,0,24,13,11975,17,105,59,2153,590,1560,3,26,"108Y02M"
10013,屏東縣,16603,14854,0,15,14,0,0,0,63,8,0,56,11,14336,2,246,103,1713,1008,698,7,36,"108Y02M"
10014,臺東縣,2708,2521,0,14,3,0,1,0,64,0,0,21,3,2203,27,94,91,166,136,18,12,21,"108Y02M"
10015,花蓮縣,7326,6468,0,16,7,0,0,0,75,13,3,27,4,5608,0,363,352,833,78,739,16,25,"108Y02M"
10016,澎湖縣,2822,2770,0,2,0,1,0,0,16,0,0,2,0,2664,18,24,43,49,21,27,1,3,"108Y02M"
10017,基隆市,6701,5808,0,23,6,0,0,0,51,4,0,6,2,5298,11,182,225,875,253,605,17,18,"108Y02M"
10018,新竹市,18028,14601,0,128,521,2,1,0,389,8,1,106,5,12496,0,894,50,2999,877,2120,2,428,"108Y02M"
10020,嘉義市,3863,3486,0,16,9,0,0,0,87,4,0,32,5,3194,0,81,58,342,146,192,4,35,"108Y02M"
09020,金門縣,1165,1105,0,2,5,0,0,0,38,0,0,3,2,981,52,12,10,58,19,38,1,2,"108Y02M"
09007,連江縣,239,233,0,0,0,0,0,0,2,0,0,0,0,186,29,5,11,6,6,0,0,0,"108Y02M"
