COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,113175,103040,0,798,410,6,7,9,1395,83,7,216,74,88812,10,8855,2358,9451,3732,5528,191,684,"109Y03M"
63000,臺北市,74039,62045,1,3414,674,16,24,30,2096,137,9,255,30,39193,19,13972,2175,8933,2005,6756,172,3061,"109Y03M"
68000,桃園市,126047,121892,1,157,220,2,0,1,414,43,1,79,62,109946,14,8657,2295,3742,635,3064,43,413,"109Y03M"
66000,臺中市,111039,103226,0,655,401,3,2,0,1133,79,5,285,84,95962,31,3064,1522,7135,2744,4218,173,678,"109Y03M"
67000,臺南市,66432,62114,0,93,197,1,4,1,465,35,7,76,61,58241,41,1693,1199,4097,1154,2901,42,221,"109Y03M"
64000,高雄市,72516,63988,0,376,502,0,0,0,854,83,1,205,44,58009,216,2420,1278,7992,2649,5295,48,536,"109Y03M"
10002,宜蘭縣,13447,12577,0,15,13,0,0,0,99,10,1,28,9,12144,0,208,50,844,544,293,7,26,"109Y03M"
10004,新竹縣,33666,31629,0,159,332,1,2,0,309,13,0,63,18,29485,0,618,629,1801,787,995,19,236,"109Y03M"
10005,苗栗縣,23017,22144,0,26,63,1,0,0,79,6,1,17,3,21059,0,375,514,827,398,396,33,46,"109Y03M"
10007,彰化縣,55987,53377,0,13,9,0,0,0,136,10,0,34,8,52008,0,623,536,2561,1555,1000,6,49,"109Y03M"
10008,南投縣,14349,13430,0,16,7,0,0,0,76,4,0,19,16,12521,0,330,441,901,436,450,15,18,"109Y03M"
10009,雲林縣,21529,20142,0,22,35,0,0,0,73,5,1,18,26,18894,0,794,274,1283,458,801,24,104,"109Y03M"
10010,嘉義縣,15136,12927,0,12,7,0,0,0,34,5,0,27,15,12476,20,132,199,2183,641,1528,14,26,"109Y03M"
10013,屏東縣,17394,15608,0,19,12,0,0,0,69,15,0,55,9,14929,1,272,227,1743,1053,683,7,43,"109Y03M"
10014,臺東縣,2757,2564,0,18,3,0,1,0,61,0,1,20,3,2215,24,111,107,171,134,18,19,22,"109Y03M"
10015,花蓮縣,7225,6449,0,16,8,1,0,0,76,13,3,32,5,5421,0,409,465,753,76,659,18,23,"109Y03M"
10016,澎湖縣,2851,2813,0,2,0,0,0,0,19,0,0,2,2,2705,15,15,53,36,19,16,1,2,"109Y03M"
10017,基隆市,7261,6285,0,30,6,0,0,0,54,6,1,6,2,5606,23,192,359,952,263,669,20,24,"109Y03M"
10018,新竹市,19066,15590,0,158,610,2,1,0,441,7,0,101,4,12914,0,1060,292,3004,960,2027,17,472,"109Y03M"
10020,嘉義市,3971,3651,0,17,22,0,0,0,83,5,0,32,7,3274,0,108,103,302,145,150,7,18,"109Y03M"
09020,金門縣,1231,1179,0,2,6,0,0,0,14,0,0,4,1,1012,49,29,62,50,22,28,0,2,"109Y03M"
09007,連江縣,238,234,0,0,0,0,0,0,0,0,0,0,0,187,29,6,12,4,4,0,0,0,"109Y03M"
