COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,94349,84636,0,588,256,3,5,2,1096,59,4,171,58,76323,3,5594,474,9097,4374,4675,48,616,"105Y10M"
63000,臺北市,66141,52985,0,3060,514,6,23,29,2160,95,14,336,22,36239,0,10141,346,9915,2237,7624,54,3241,"105Y10M"
68000,桃園市,106798,103262,0,120,182,2,0,0,344,38,0,69,58,94848,11,7514,76,3226,493,2724,9,310,"105Y10M"
66000,臺中市,91207,83622,0,604,265,2,1,0,973,62,4,331,88,78923,17,1770,582,6977,2771,4155,51,608,"105Y10M"
67000,臺南市,56713,53341,0,63,174,0,2,2,391,26,2,84,15,50935,29,1441,177,3201,1165,2021,15,171,"105Y10M"
64000,高雄市,60420,53588,0,480,451,2,0,0,811,72,1,202,25,49599,251,1530,164,6315,2740,3552,23,517,"105Y10M"
10002,宜蘭縣,11589,10828,0,5,8,0,0,0,90,8,1,37,8,10510,0,137,24,742,467,272,3,19,"105Y10M"
10004,新竹縣,27212,25761,0,124,220,0,1,0,235,10,0,63,11,24271,0,527,299,1278,886,389,3,173,"105Y10M"
10005,苗栗縣,19772,18868,0,23,54,0,0,0,66,7,2,16,2,18353,0,208,137,855,755,98,2,49,"105Y10M"
10007,彰化縣,46324,43885,0,9,6,0,0,0,141,8,0,16,12,43084,0,522,87,2392,1437,953,2,47,"105Y10M"
10008,南投縣,11265,10309,0,13,5,0,0,0,65,0,0,25,14,9953,0,172,62,929,520,401,8,27,"105Y10M"
10009,雲林縣,16743,15135,0,17,52,0,0,0,68,3,0,17,6,14541,0,173,258,1477,676,800,1,131,"105Y10M"
10010,嘉義縣,11348,9856,0,8,5,0,1,0,43,4,1,20,13,9637,12,88,24,1472,542,929,1,20,"105Y10M"
10013,屏東縣,13969,12146,0,11,7,0,0,0,69,11,0,40,9,11697,4,262,36,1774,1110,659,5,49,"105Y10M"
10014,臺東縣,2688,2401,0,8,3,0,0,0,48,3,1,23,1,2164,23,74,53,272,183,78,11,15,"105Y10M"
10015,花蓮縣,6658,5776,0,7,5,1,0,0,72,9,4,30,4,5223,0,264,157,852,111,726,15,30,"105Y10M"
10016,澎湖縣,2490,2419,0,1,0,0,0,0,15,0,0,2,1,2344,13,14,29,71,43,27,1,0,"105Y10M"
10017,基隆市,5579,4894,0,20,11,0,0,0,58,3,0,13,3,4497,33,122,134,662,359,286,17,23,"105Y10M"
10018,新竹市,15470,12410,0,144,511,1,0,0,415,9,1,113,4,10421,1,763,27,2620,886,1733,1,440,"105Y10M"
10020,嘉義市,3538,3134,0,21,8,0,0,0,85,3,0,29,6,2893,0,70,19,397,174,222,1,7,"105Y10M"
09020,金門縣,1062,891,0,6,0,0,0,0,10,0,0,4,0,786,53,24,8,170,16,153,1,1,"105Y10M"
09007,連江縣,199,185,0,0,0,0,0,0,1,0,0,0,0,156,16,4,8,14,13,1,0,0,"105Y10M"
