COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,103670,93582,0,636,304,3,8,6,1189,64,7,145,62,84120,13,6307,718,9485,4049,5376,60,603,"107Y05M"
63000,臺北市,68330,55688,0,3031,552,14,20,30,2105,100,15,279,30,37348,3,11739,422,9450,2151,7223,76,3192,"107Y05M"
68000,桃園市,116975,112709,0,135,199,2,0,0,391,40,1,70,63,103528,14,7796,470,3930,558,3358,14,336,"107Y05M"
66000,臺中市,104906,97216,0,590,290,2,4,0,1038,69,4,315,97,91859,23,2357,568,7106,2704,4336,66,584,"107Y05M"
67000,臺南市,60570,56758,0,65,166,0,3,2,410,31,2,74,45,54260,47,1341,312,3648,1104,2522,22,164,"107Y05M"
64000,高雄市,66234,58963,0,381,429,2,0,0,800,66,1,171,37,54602,229,1877,368,6781,2613,4138,30,490,"107Y05M"
10002,宜蘭縣,12762,11983,0,9,8,0,0,0,88,6,0,27,8,11648,0,160,29,765,472,286,7,14,"107Y05M"
10004,新竹縣,32092,30245,0,152,259,0,2,0,278,8,0,43,10,28568,0,547,378,1648,860,779,9,199,"107Y05M"
10005,苗栗縣,21641,20867,0,21,61,0,0,0,72,6,1,14,2,20083,0,257,350,737,531,205,1,37,"107Y05M"
10007,彰化縣,52658,49902,0,10,4,0,0,0,141,7,0,30,10,49055,0,510,135,2719,1383,1334,2,37,"107Y05M"
10008,南投縣,12459,11503,0,16,6,0,0,0,69,2,0,18,16,11083,0,204,89,940,444,487,9,16,"107Y05M"
10009,雲林縣,19237,17556,0,24,43,0,0,0,67,5,0,24,17,16745,0,387,244,1568,590,976,2,113,"107Y05M"
10010,嘉義縣,13561,11692,0,9,7,0,0,0,42,4,0,18,15,11460,13,88,36,1850,560,1287,3,19,"107Y05M"
10013,屏東縣,15636,13837,0,12,10,0,0,0,69,9,0,49,10,13325,4,265,84,1764,1037,720,7,35,"107Y05M"
10014,臺東縣,2696,2463,0,14,3,0,1,0,52,1,0,21,3,2209,27,75,57,215,157,48,10,18,"107Y05M"
10015,花蓮縣,7090,6183,0,12,5,1,0,0,77,11,2,25,4,5452,0,314,280,878,81,783,14,29,"107Y05M"
10016,澎湖縣,2835,2787,0,1,0,0,0,0,16,0,0,1,1,2685,27,19,37,47,24,22,1,1,"107Y05M"
10017,基隆市,6412,5580,0,26,8,0,0,0,55,5,0,7,2,5094,13,170,200,812,274,521,17,20,"107Y05M"
10018,新竹市,17026,13663,0,161,539,2,1,0,418,10,1,107,3,11520,0,858,43,2911,917,1991,3,452,"107Y05M"
10020,嘉義市,3724,3361,0,13,9,0,0,0,70,4,0,27,7,3111,0,87,33,349,143,203,3,14,"107Y05M"
09020,金門縣,1120,1058,0,6,4,0,0,0,16,0,0,3,0,922,57,37,13,61,16,45,0,1,"107Y05M"
09007,連江縣,228,220,0,0,0,0,0,0,0,0,0,0,0,174,29,4,13,8,8,0,0,0,"107Y05M"
