COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,91927,82672,0,530,244,5,4,5,1100,58,4,171,49,74751,2,5332,417,8632,4318,4266,48,623,"105Y05M"
63000,臺北市,64919,52493,0,2994,531,7,22,28,2125,88,12,342,22,35807,2,10191,322,9284,2362,6869,53,3142,"105Y05M"
68000,桃園市,103866,100618,0,105,167,2,0,0,363,34,0,66,55,92386,12,7343,85,2958,473,2477,8,290,"105Y05M"
66000,臺中市,88062,80866,0,599,234,2,3,0,992,64,3,301,74,76366,16,1687,525,6618,2721,3848,49,578,"105Y05M"
67000,臺南市,55359,52286,0,74,163,0,1,2,405,26,3,72,18,49950,15,1379,178,2905,1135,1752,18,168,"105Y05M"
64000,高雄市,57853,51721,0,502,366,1,0,0,820,67,1,199,26,47953,259,1389,138,5611,2669,2920,22,521,"105Y05M"
10002,宜蘭縣,11509,10768,0,6,8,0,0,0,88,7,1,39,8,10452,0,138,21,724,467,253,4,17,"105Y05M"
10004,新竹縣,26451,25012,0,105,212,0,1,0,243,11,0,67,9,23556,0,535,273,1278,883,391,4,161,"105Y05M"
10005,苗栗縣,19477,18573,0,24,60,1,0,0,65,6,1,15,2,18090,0,209,100,856,760,96,0,48,"105Y05M"
10007,彰化縣,44946,42665,0,5,5,0,0,0,138,7,0,22,13,41911,0,503,61,2240,1414,824,2,41,"105Y05M"
10008,南投縣,10924,10021,0,15,6,0,0,0,64,0,0,19,18,9683,0,164,52,880,521,352,7,23,"105Y05M"
10009,雲林縣,16135,14543,0,14,66,0,0,0,73,2,1,19,5,13972,0,138,253,1487,728,758,1,105,"105Y05M"
10010,嘉義縣,10799,9593,0,6,3,0,0,0,42,5,1,22,11,9389,8,85,21,1185,534,650,1,21,"105Y05M"
10013,屏東縣,13674,11988,0,11,5,0,0,0,65,9,0,36,13,11584,0,226,39,1641,1088,549,4,45,"105Y05M"
10014,臺東縣,2682,2408,0,9,3,0,0,0,43,4,0,23,0,2180,26,69,51,260,174,75,11,14,"105Y05M"
10015,花蓮縣,6495,5731,0,10,4,0,0,0,76,12,4,27,2,5199,0,243,154,731,120,596,15,33,"105Y05M"
10016,澎湖縣,2685,2604,0,0,0,0,0,0,17,0,0,4,1,2533,14,11,24,80,51,28,1,1,"105Y05M"
10017,基隆市,5545,4855,0,21,16,0,0,0,58,4,0,10,3,4476,37,114,116,668,373,281,14,22,"105Y05M"
10018,新竹市,15357,12397,0,147,549,1,1,0,430,11,1,106,4,10339,0,779,29,2510,869,1641,0,450,"105Y05M"
10020,嘉義市,3414,3039,0,16,10,0,0,0,81,2,0,31,8,2826,0,52,13,367,174,192,1,8,"105Y05M"
09020,金門縣,1155,1009,0,6,0,0,0,0,13,0,0,4,0,895,48,36,7,145,15,130,0,1,"105Y05M"
09007,連江縣,198,186,0,0,0,0,0,0,0,0,0,1,0,163,13,3,6,12,12,0,0,0,"105Y05M"
