COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,101917,91918,0,635,281,4,8,3,1175,69,7,172,65,82735,9,6098,657,9356,4128,5170,58,643,"106Y11M"
63000,臺北市,69181,56119,0,3247,563,14,24,30,2069,99,14,295,28,37570,12,11750,404,9728,2153,7507,68,3334,"106Y11M"
68000,桃園市,115809,111815,0,125,179,2,0,0,374,35,1,69,47,102981,14,7759,229,3653,530,3113,10,341,"106Y11M"
66000,臺中市,101776,93902,0,596,304,2,3,0,1014,68,5,317,99,88710,19,2218,547,7255,2721,4479,55,619,"106Y11M"
67000,臺南市,60147,56431,0,69,163,0,2,2,408,32,3,79,37,53978,47,1337,274,3528,1103,2407,18,188,"106Y11M"
64000,高雄市,64966,57611,0,428,454,1,0,0,814,76,1,190,32,53355,226,1777,257,6818,2665,4125,28,537,"106Y11M"
10002,宜蘭縣,12812,12031,0,9,8,0,0,0,92,8,1,32,7,11681,0,166,27,765,455,304,6,16,"106Y11M"
10004,新竹縣,31120,29369,0,150,240,0,2,0,263,11,0,55,12,27790,0,555,291,1561,902,650,9,190,"106Y11M"
10005,苗栗縣,21610,20866,0,21,65,0,0,0,65,5,1,14,2,20161,0,222,310,703,588,113,2,41,"106Y11M"
10007,彰化縣,51285,48700,0,10,5,0,0,0,141,7,0,25,11,47875,0,481,145,2554,1294,1257,3,31,"106Y11M"
10008,南投縣,12398,11415,0,15,8,0,0,0,73,1,0,19,18,11004,0,205,72,963,459,499,5,20,"106Y11M"
10009,雲林縣,18678,16999,0,19,43,0,1,0,64,3,0,27,16,16280,0,304,242,1542,615,925,2,137,"106Y11M"
10010,嘉義縣,13079,11250,0,8,4,0,0,0,35,7,0,19,12,11029,13,87,36,1811,553,1256,2,18,"106Y11M"
10013,屏東縣,15145,13338,0,15,8,0,0,0,66,9,0,53,7,12805,5,281,89,1761,1008,746,7,46,"106Y11M"
10014,臺東縣,2700,2449,0,13,3,0,1,0,53,1,1,20,2,2192,24,75,64,234,165,58,11,17,"106Y11M"
10015,花蓮縣,7109,6185,0,15,4,1,0,0,82,13,3,30,4,5471,0,306,256,893,88,792,13,31,"106Y11M"
10016,澎湖縣,2815,2763,0,1,0,0,0,0,18,0,0,1,1,2656,23,14,49,51,27,23,1,1,"106Y11M"
10017,基隆市,6353,5492,0,28,13,0,0,0,50,5,0,9,2,5030,16,167,172,836,300,521,15,25,"106Y11M"
10018,新竹市,16649,13411,0,171,531,1,1,0,416,8,1,97,5,11301,0,842,37,2801,872,1927,2,437,"106Y11M"
10020,嘉義市,3688,3293,0,12,9,1,0,0,68,5,0,34,7,3047,1,74,35,382,154,224,4,13,"106Y11M"
09020,金門縣,1112,1005,0,6,1,0,0,0,13,0,0,3,0,882,52,37,11,106,15,91,0,1,"106Y11M"
09007,連江縣,222,213,0,0,0,0,0,0,0,0,0,0,0,171,26,4,12,9,9,0,0,0,"106Y11M"
