COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,103742,96123,0,657,278,4,3,6,1153,61,6,201,60,85434,9,7056,1195,7075,3401,3521,153,544,"109Y01M"
63000,臺北市,64245,55938,1,2726,483,12,16,25,1663,113,8,242,27,39116,17,10587,902,5782,1757,3886,139,2525,"109Y01M"
68000,桃園市,117741,114682,1,138,178,2,0,1,330,35,0,76,52,105276,13,7526,1054,2721,574,2110,37,338,"109Y01M"
66000,臺中市,102380,97060,0,554,305,1,2,0,939,62,6,285,71,91351,30,2529,925,4714,2505,2079,130,606,"109Y01M"
67000,臺南市,62123,58940,0,75,148,1,3,1,389,30,2,72,55,56017,43,1461,643,3004,1054,1910,40,179,"109Y01M"
64000,高雄市,67845,60740,0,353,423,0,0,0,695,64,1,187,34,56228,215,2129,411,6622,2471,4110,41,483,"109Y01M"
10002,宜蘭縣,13064,12364,0,14,8,0,0,0,77,7,0,31,5,11993,0,194,35,675,512,156,7,25,"109Y01M"
10004,新竹縣,31774,30020,0,124,235,1,1,0,252,8,0,50,16,28329,0,525,479,1564,719,828,17,190,"109Y01M"
10005,苗栗縣,21837,21075,0,21,38,1,0,0,60,7,1,16,3,20179,0,328,421,726,378,327,21,36,"109Y01M"
10007,彰化縣,52821,50596,0,9,6,0,0,0,118,8,0,31,6,49673,0,543,202,2182,1457,720,5,43,"109Y01M"
10008,南投縣,13441,12750,0,15,4,0,0,0,62,1,0,22,15,12081,0,282,268,675,426,237,12,16,"109Y01M"
10009,雲林縣,20017,19184,0,18,33,0,1,0,54,4,1,15,20,18185,0,684,169,765,440,308,17,68,"109Y01M"
10010,嘉義縣,14048,12361,0,13,3,0,0,0,25,5,0,28,12,12075,17,109,74,1657,600,1047,10,30,"109Y01M"
10013,屏東縣,16332,14961,0,14,12,0,0,0,54,10,0,56,8,14400,1,256,150,1330,986,337,7,41,"109Y01M"
10014,臺東縣,2684,2499,0,18,3,0,1,0,49,0,0,19,2,2218,22,97,70,171,133,19,19,14,"109Y01M"
10015,花蓮縣,6520,6084,0,15,5,1,0,0,61,12,2,29,5,5368,0,360,226,416,73,324,19,20,"109Y01M"
10016,澎湖縣,2836,2808,0,2,0,0,0,0,14,0,0,2,1,2715,11,11,52,26,21,4,1,2,"109Y01M"
10017,基隆市,6764,5999,0,30,6,0,0,0,44,4,0,4,2,5466,23,169,251,743,239,484,20,22,"109Y01M"
10018,新竹市,16342,14219,0,123,392,2,1,0,322,4,0,90,4,12335,0,846,100,1775,806,956,13,348,"109Y01M"
10020,嘉義市,3798,3557,0,14,17,0,0,0,69,4,0,29,6,3244,0,97,77,226,144,76,6,15,"109Y01M"
09020,金門縣,1151,1112,0,3,5,0,0,0,8,0,0,4,1,989,53,22,27,37,20,17,0,2,"109Y01M"
09007,連江縣,235,232,0,0,0,0,0,0,0,0,0,0,0,187,27,5,13,3,3,0,0,0,"109Y01M"
