COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,95973,86417,0,606,249,3,6,3,1112,61,5,172,58,78067,3,5558,514,8973,4320,4600,53,583,"106Y02M"
63000,臺北市,66291,53586,0,3091,510,10,19,28,2157,96,17,323,22,36806,3,10102,402,9537,2234,7239,64,3168,"106Y02M"
68000,桃園市,108229,104869,0,124,166,1,0,0,360,39,0,75,56,96440,12,7524,72,3040,486,2543,11,320,"106Y02M"
66000,臺中市,92995,85902,0,598,279,2,3,0,968,62,5,325,93,81137,14,1849,567,6527,2777,3698,52,566,"106Y02M"
67000,臺南市,57715,54411,0,77,157,0,1,2,395,29,3,85,26,51999,38,1386,213,3131,1163,1949,19,173,"106Y02M"
64000,高雄市,60733,54134,0,460,445,2,0,0,818,70,1,199,21,50182,225,1557,154,6096,2744,3324,28,503,"106Y02M"
10002,宜蘭縣,12036,11304,0,6,5,0,0,0,92,10,1,39,7,10968,0,148,28,718,454,260,4,14,"106Y02M"
10004,新竹縣,28015,26605,0,133,210,0,1,0,241,13,0,53,11,25139,0,527,277,1253,894,355,4,157,"106Y02M"
10005,苗栗縣,19986,19156,0,19,61,0,0,0,61,5,2,20,2,18596,0,210,180,795,692,101,2,35,"106Y02M"
10007,彰化縣,47727,45281,0,12,6,0,0,0,144,6,0,17,12,44485,0,488,111,2400,1393,1004,3,46,"106Y02M"
10008,南投縣,11581,10682,0,13,7,0,0,0,69,1,0,20,16,10326,0,171,59,884,499,378,7,15,"106Y02M"
10009,雲林縣,16897,15456,0,16,45,0,0,0,63,3,0,20,8,14802,0,253,246,1316,641,673,2,125,"106Y02M"
10010,嘉義縣,11684,10249,0,7,5,0,0,0,44,5,0,17,11,10035,12,85,28,1418,528,890,0,17,"106Y02M"
10013,屏東縣,14111,12402,0,13,5,0,0,0,66,9,0,46,7,11945,3,270,38,1668,1070,593,5,41,"106Y02M"
10014,臺東縣,2712,2426,0,9,3,0,0,0,49,2,1,25,1,2179,27,76,54,270,181,79,10,16,"106Y02M"
10015,花蓮縣,6809,5885,0,10,4,1,0,0,76,9,4,29,4,5318,0,284,146,896,101,780,15,28,"106Y02M"
10016,澎湖縣,2600,2533,0,1,0,0,0,0,19,0,0,3,0,2449,18,9,34,67,42,24,1,0,"106Y02M"
10017,基隆市,5684,5022,0,28,14,0,0,0,59,4,0,13,2,4596,33,124,149,641,336,288,17,21,"106Y02M"
10018,新竹市,15562,12589,0,149,501,1,0,0,424,8,1,106,5,10633,1,735,25,2539,903,1636,0,434,"106Y02M"
10020,嘉義市,3510,3140,0,14,7,0,0,0,79,2,0,28,7,2911,0,71,21,365,165,198,2,5,"106Y02M"
09020,金門縣,1027,911,0,7,0,0,0,0,10,0,0,3,0,804,55,23,9,116,19,96,1,0,"106Y02M"
09007,連江縣,195,184,0,0,0,0,0,0,1,0,0,0,0,153,15,4,11,11,10,1,0,0,"106Y02M"
