COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,96347,87825,0,636,269,3,6,0,1092,63,6,146,62,79419,2,5512,609,7986,4218,3711,57,536,"106Y06M"
63000,臺北市,62187,51773,0,3123,520,12,19,26,1771,96,15,301,28,36051,12,9423,376,8012,1982,5966,64,2402,"106Y06M"
68000,桃園市,110421,107332,0,125,168,2,0,0,343,36,1,78,48,99095,12,7327,97,2775,486,2279,10,314,"106Y06M"
66000,臺中市,95094,88684,0,547,265,1,3,0,853,58,4,295,103,84206,15,1834,500,5956,2686,3219,51,454,"106Y06M"
67000,臺南市,57960,55088,0,73,151,0,2,1,371,28,3,69,37,52769,45,1300,239,2697,1125,1553,19,175,"106Y06M"
64000,高雄市,60556,54732,0,430,460,1,0,0,712,79,1,181,36,50928,226,1521,157,5396,2693,2674,29,428,"106Y06M"
10002,宜蘭縣,12112,11419,0,6,8,0,0,0,89,7,1,32,8,11084,0,148,36,675,454,217,4,18,"106Y06M"
10004,新竹縣,28973,27579,0,119,219,0,1,0,250,8,0,55,11,26076,0,555,285,1242,879,355,8,152,"106Y06M"
10005,苗栗縣,20821,20069,0,19,61,0,0,0,63,4,1,17,2,19435,0,217,250,712,625,86,1,40,"106Y06M"
10007,彰化縣,49149,47065,0,11,8,0,0,0,143,6,0,18,11,46242,0,470,156,2047,1320,725,2,37,"106Y06M"
10008,南投縣,11702,10885,0,16,7,0,0,0,60,0,0,18,16,10533,0,173,62,803,474,322,7,14,"106Y06M"
10009,雲林縣,17477,16089,0,21,44,0,0,0,55,2,0,23,7,15428,0,273,236,1269,626,641,2,119,"106Y06M"
10010,嘉義縣,11884,10553,0,7,6,0,0,0,36,6,0,21,12,10344,11,81,29,1315,554,759,2,16,"106Y06M"
10013,屏東縣,14264,12730,0,14,9,0,0,0,67,11,0,44,9,12231,5,270,70,1495,1004,484,7,39,"106Y06M"
10014,臺東縣,2656,2422,0,11,3,0,1,0,43,2,1,23,1,2180,28,79,50,221,160,50,11,13,"106Y06M"
10015,花蓮縣,6588,5883,0,10,3,1,0,0,67,13,3,29,5,5327,0,278,147,678,95,571,12,27,"106Y06M"
10016,澎湖縣,2649,2597,0,1,0,0,0,0,18,0,0,2,1,2487,27,14,47,52,34,17,1,0,"106Y06M"
10017,基隆市,5951,5289,0,24,14,0,0,0,57,2,0,9,2,4860,19,136,166,643,316,315,12,19,"106Y06M"
10018,新竹市,15633,12924,0,158,506,2,0,0,346,6,1,92,4,11037,1,749,22,2342,850,1489,3,367,"106Y06M"
10020,嘉義市,3440,3110,0,16,8,0,0,0,76,2,0,25,8,2888,0,63,24,325,158,165,2,5,"106Y06M"
09020,金門縣,1016,908,0,7,0,0,0,0,10,0,0,3,0,800,57,20,11,107,17,90,0,1,"106Y06M"
09007,連江縣,219,210,0,0,0,0,0,0,1,0,0,0,0,169,25,4,11,9,9,0,0,0,"106Y06M"
