COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,108229,97600,0,685,346,4,5,6,1279,66,7,177,73,86661,21,7396,874,9973,3863,6028,82,656,"108Y04M"
63000,臺北市,70895,57907,3,2974,592,12,23,29,2139,110,8,229,31,38584,10,12525,638,9871,2029,7758,84,3117,"108Y04M"
68000,桃園市,120415,115479,0,134,255,1,0,0,404,44,1,67,56,105308,15,8098,1096,4564,583,3955,26,372,"108Y04M"
66000,臺中市,109323,101163,0,597,323,3,3,0,1056,75,6,292,92,95155,27,2569,965,7511,2714,4720,77,649,"108Y04M"
67000,臺南市,64130,59592,0,73,159,1,2,2,431,36,0,69,53,56600,47,1598,521,4336,1093,3221,22,202,"108Y04M"
64000,高雄市,69482,61116,0,371,428,1,0,0,805,76,1,174,32,56397,236,2111,484,7835,2570,5228,37,531,"108Y04M"
10002,宜蘭縣,13233,12380,0,13,8,0,0,0,95,11,1,31,7,11986,0,201,27,830,513,309,8,23,"108Y04M"
10004,新竹縣,32372,29946,0,139,281,1,2,0,297,10,0,39,18,28097,0,615,447,2211,826,1369,16,215,"108Y04M"
10005,苗栗縣,21687,20788,0,20,56,1,0,0,74,6,2,14,3,19901,0,254,457,854,436,413,5,45,"108Y04M"
10007,彰化縣,54634,51618,0,10,5,0,0,0,139,9,0,28,6,50742,0,552,127,2967,1453,1510,4,49,"108Y04M"
10008,南投縣,13471,12487,0,13,6,0,0,0,69,3,0,24,17,11878,0,275,202,964,422,534,8,20,"108Y04M"
10009,雲林縣,20326,18813,0,23,30,0,0,0,69,5,1,20,22,17803,0,610,230,1407,491,911,5,106,"108Y04M"
10010,嘉義縣,14456,12359,0,11,8,0,0,0,38,7,0,25,14,12060,21,107,68,2072,589,1480,3,25,"108Y04M"
10013,屏東縣,16800,15042,0,11,11,0,0,0,65,9,0,56,9,14510,2,249,120,1719,998,715,6,39,"108Y04M"
10014,臺東縣,2688,2494,0,12,3,0,1,0,63,0,0,21,2,2182,26,95,89,172,139,20,13,22,"108Y04M"
10015,花蓮縣,7318,6481,0,16,5,0,0,0,76,15,2,24,4,5606,0,378,355,816,77,725,14,21,"108Y04M"
10016,澎湖縣,2723,2672,0,2,0,0,0,0,18,0,0,2,1,2558,20,21,50,49,19,30,0,2,"108Y04M"
10017,基隆市,6898,5933,0,19,6,0,0,0,53,4,0,6,2,5386,15,195,247,947,258,673,16,18,"108Y04M"
10018,新竹市,17956,14461,0,143,555,2,1,0,405,8,0,98,4,12280,0,906,59,3057,898,2157,2,438,"108Y04M"
10020,嘉義市,3857,3486,0,14,13,0,0,0,84,4,0,32,5,3187,1,88,58,339,137,196,6,32,"108Y04M"
09020,金門縣,1159,1090,0,3,3,0,0,0,39,0,0,3,2,963,52,13,12,67,16,50,1,2,"108Y04M"
09007,連江縣,229,223,0,0,0,0,0,0,2,0,0,0,0,175,28,5,13,6,6,0,0,0,"108Y04M"
