COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,96325,86765,0,638,247,3,6,2,1092,57,5,167,55,78356,3,5552,582,8964,4302,4607,55,596,"106Y03M"
63000,臺北市,64477,52694,0,2975,507,10,23,26,1950,85,16,316,20,36760,5,9617,384,9368,2123,7180,65,2415,"106Y03M"
68000,桃園市,109025,105473,0,117,163,1,0,0,357,37,0,76,54,97108,12,7458,90,3246,484,2751,11,306,"106Y03M"
66000,臺中市,94046,86734,0,536,251,2,3,0,938,60,5,335,93,82090,14,1853,554,6804,2729,4023,52,508,"106Y03M"
67000,臺南市,57763,54477,0,87,149,0,1,1,382,27,3,82,34,52112,42,1329,228,3110,1154,1938,18,176,"106Y03M"
64000,高雄市,60447,53931,0,432,418,2,0,0,795,74,1,200,25,50051,229,1528,176,6081,2707,3346,28,435,"106Y03M"
10002,宜蘭縣,12143,11402,0,5,7,0,0,0,93,9,1,38,8,11055,0,144,42,727,460,263,4,14,"106Y03M"
10004,新竹縣,28315,26851,0,126,205,0,1,0,246,13,0,53,10,25391,0,531,275,1293,883,405,5,171,"106Y03M"
10005,苗栗縣,20158,19346,0,19,63,0,0,0,63,6,1,17,2,18760,0,212,203,772,672,99,1,40,"106Y03M"
10007,彰化縣,48313,45825,0,11,9,0,0,0,144,6,0,20,13,45004,0,470,148,2445,1382,1062,1,43,"106Y03M"
10008,南投縣,11639,10724,0,12,6,0,0,0,67,1,0,20,16,10366,0,172,64,897,499,391,7,18,"106Y03M"
10009,雲林縣,17098,15555,0,14,39,0,1,0,63,3,0,21,8,14894,0,276,236,1422,632,788,2,121,"106Y03M"
10010,嘉義縣,11768,10318,0,7,3,0,1,0,47,6,0,19,12,10095,12,83,33,1432,527,903,2,18,"106Y03M"
10013,屏東縣,14267,12520,0,13,5,0,0,0,66,9,0,51,7,12057,5,261,46,1714,1071,636,7,33,"106Y03M"
10014,臺東縣,2711,2429,0,11,3,0,0,0,46,1,1,28,1,2176,27,82,53,266,179,77,10,16,"106Y03M"
10015,花蓮縣,6853,5934,0,11,4,1,0,0,72,10,3,30,5,5355,0,286,157,891,99,778,14,28,"106Y03M"
10016,澎湖縣,2617,2554,0,1,0,0,0,0,14,0,0,3,1,2457,23,14,41,63,38,24,1,0,"106Y03M"
10017,基隆市,5806,5124,0,27,13,0,0,0,54,4,0,13,2,4696,31,129,155,660,341,305,14,22,"106Y03M"
10018,新竹市,15735,12677,0,142,470,1,0,0,403,8,1,105,5,10796,1,717,28,2650,867,1782,1,408,"106Y03M"
10020,嘉義市,3520,3159,0,17,8,0,0,0,78,1,0,29,8,2929,0,69,20,356,161,193,2,5,"106Y03M"
09020,金門縣,1036,909,0,6,0,0,0,0,10,0,0,3,0,802,54,24,10,126,16,109,1,1,"106Y03M"
09007,連江縣,202,190,0,0,0,0,0,0,1,0,0,0,0,157,17,4,11,12,11,1,0,0,"106Y03M"
