COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,107848,96956,0,614,332,3,7,6,1224,62,8,169,70,86759,18,6794,890,10254,4039,6148,67,638,"107Y10M"
63000,臺北市,70448,57116,0,2943,575,14,21,28,2088,110,12,256,27,38192,9,12254,587,9976,2124,7773,79,3356,"107Y10M"
68000,桃園市,120410,115396,0,139,229,2,0,0,368,51,1,69,60,105536,14,7949,978,4660,573,4072,15,354,"107Y10M"
66000,臺中市,109770,101477,0,586,296,3,4,0,1052,79,7,301,98,95704,26,2455,866,7649,2713,4874,62,644,"107Y10M"
67000,臺南市,63252,58817,0,77,155,0,2,2,433,37,0,77,48,56026,46,1422,492,4268,1091,3163,14,167,"107Y10M"
64000,高雄市,69549,60992,0,364,447,1,0,0,799,85,1,169,32,56319,234,1995,546,8031,2594,5406,31,526,"107Y10M"
10002,宜蘭縣,13234,12367,0,12,5,0,0,0,92,8,1,32,7,12002,0,182,26,846,491,349,6,21,"107Y10M"
10004,新竹縣,32700,30376,0,152,266,0,1,0,290,10,0,45,20,28580,0,581,431,2112,859,1242,11,212,"107Y10M"
10005,苗栗縣,21958,21003,0,23,59,1,0,0,75,6,2,15,2,20159,0,251,410,913,469,443,1,42,"107Y10M"
10007,彰化縣,54257,51282,0,9,7,0,0,0,138,9,0,27,7,50421,0,527,137,2929,1429,1498,2,46,"107Y10M"
10008,南投縣,13023,12011,0,17,8,1,0,0,69,4,0,25,18,11449,0,234,186,996,431,557,8,16,"107Y10M"
10009,雲林縣,19892,18242,0,22,34,0,0,0,67,4,1,22,17,17344,0,476,255,1534,539,991,4,116,"107Y10M"
10010,嘉義縣,14420,12203,0,10,5,0,0,0,36,6,0,22,14,11942,14,98,56,2194,570,1620,4,23,"107Y10M"
10013,屏東縣,16251,14383,0,12,11,0,0,0,66,7,0,55,11,13867,2,255,97,1833,1058,769,6,35,"107Y10M"
10014,臺東縣,2723,2522,0,13,3,0,1,0,63,0,0,20,3,2226,28,92,73,179,144,24,11,22,"107Y10M"
10015,花蓮縣,7327,6397,0,15,5,1,0,0,71,14,3,27,4,5584,0,365,308,902,75,814,13,28,"107Y10M"
10016,澎湖縣,2881,2826,0,1,0,1,0,0,19,0,0,1,0,2714,25,20,45,54,21,32,1,1,"107Y10M"
10017,基隆市,6745,5756,0,20,9,0,0,0,58,5,0,6,2,5243,14,181,218,972,261,695,16,17,"107Y10M"
10018,新竹市,17999,14398,0,150,550,2,1,0,413,10,1,109,5,12208,0,903,46,3148,906,2240,2,453,"107Y10M"
10020,嘉義市,3853,3455,0,12,12,0,0,0,80,7,0,27,7,3183,0,82,45,365,142,220,3,33,"107Y10M"
09020,金門縣,1138,1067,0,3,2,0,0,0,37,0,0,2,0,941,55,16,11,70,18,52,0,1,"107Y10M"
09007,連江縣,235,229,0,0,0,0,0,0,2,0,0,0,0,180,30,4,13,6,6,0,0,0,"107Y10M"
