COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,98115,89546,0,626,266,3,5,2,1078,67,6,156,67,81126,7,5577,560,7953,4217,3679,57,616,"106Y08M"
63000,臺北市,63881,53209,0,3162,524,8,20,30,1926,94,13,303,25,36781,12,9950,361,7448,2150,5237,61,3224,"106Y08M"
68000,桃園市,112037,109097,0,132,173,2,0,0,318,35,1,75,48,100825,13,7381,94,2623,494,2120,9,317,"106Y08M"
66000,臺中市,96803,90779,0,576,276,1,2,0,905,66,3,301,102,86051,16,1956,524,5442,2710,2677,55,582,"106Y08M"
67000,臺南市,58377,55786,0,68,156,0,2,2,365,30,3,72,39,53481,44,1305,219,2424,1123,1283,18,167,"106Y08M"
64000,高雄市,61674,55710,0,443,448,2,0,0,751,82,1,170,35,51803,222,1590,163,5472,2718,2726,28,492,"106Y08M"
10002,宜蘭縣,12388,11718,0,7,6,0,0,0,88,7,0,31,8,11389,0,151,31,652,454,191,7,18,"106Y08M"
10004,新竹縣,29787,28388,0,131,226,0,1,0,233,13,0,56,12,26882,0,564,270,1224,888,328,8,175,"106Y08M"
10005,苗栗縣,21090,20355,0,18,67,0,0,0,60,6,0,19,2,19698,0,221,264,693,614,78,1,42,"106Y08M"
10007,彰化縣,49916,47947,0,10,7,0,0,0,122,7,0,17,11,47156,0,470,147,1940,1315,623,2,29,"106Y08M"
10008,南投縣,11962,11190,0,16,7,0,0,0,62,2,0,21,16,10810,0,190,66,753,466,281,6,19,"106Y08M"
10009,雲林縣,17822,16563,0,24,43,0,1,0,64,3,0,23,8,15866,0,289,242,1150,604,544,2,109,"106Y08M"
10010,嘉義縣,12297,10849,0,7,5,0,0,0,36,4,0,21,12,10640,12,84,28,1436,545,889,2,12,"106Y08M"
10013,屏東縣,14543,13107,0,15,9,0,0,0,62,9,0,48,8,12599,5,274,78,1396,991,398,7,40,"106Y08M"
10014,臺東縣,2658,2421,0,12,3,0,1,0,50,1,1,23,1,2177,30,71,51,219,164,44,11,18,"106Y08M"
10015,花蓮縣,6583,6003,0,14,3,1,0,0,65,13,3,23,4,5434,0,292,151,552,90,448,14,28,"106Y08M"
10016,澎湖縣,2720,2673,0,1,0,0,0,0,18,0,0,2,1,2564,25,15,47,46,36,9,1,1,"106Y08M"
10017,基隆市,6015,5388,0,27,11,0,0,0,51,3,0,10,2,4945,20,147,172,605,309,281,15,22,"106Y08M"
10018,新竹市,15703,13133,0,161,506,1,0,0,384,8,1,95,4,11195,1,753,24,2148,869,1276,3,422,"106Y08M"
10020,嘉義市,3530,3227,0,13,7,0,0,0,69,2,0,28,8,3002,0,68,30,291,158,131,2,12,"106Y08M"
09020,金門縣,1033,942,0,6,1,0,0,0,6,0,0,2,0,831,55,33,8,91,16,75,0,0,"106Y08M"
09007,連江縣,224,215,0,0,0,0,0,0,1,0,0,0,0,173,26,4,11,9,9,0,0,0,"106Y08M"
