COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,90119,82305,0,528,236,3,5,3,933,52,4,150,56,74905,2,5015,413,7295,4201,3046,48,519,"105Y07M"
63000,臺北市,58863,50007,0,2861,506,8,20,27,1625,88,12,314,19,35676,1,8580,270,6858,1915,4893,50,1998,"105Y07M"
68000,桃園市,102853,100383,0,104,172,2,0,0,282,37,0,63,53,92481,11,7083,95,2210,462,1739,9,260,"105Y07M"
66000,臺中市,86741,81145,0,595,246,2,2,0,777,60,3,293,85,76964,17,1555,546,5153,2564,2539,50,443,"105Y07M"
67000,臺南市,55063,52640,0,69,164,0,2,0,330,27,3,66,16,50443,19,1338,163,2285,1101,1167,17,138,"105Y07M"
64000,高雄市,57002,51935,0,452,364,1,0,0,651,70,1,160,23,48458,271,1330,154,4664,2618,2025,21,403,"105Y07M"
10002,宜蘭縣,11259,10642,0,3,8,0,0,0,82,8,1,34,8,10351,0,124,23,601,445,152,4,16,"105Y07M"
10004,新竹縣,26616,25328,0,107,215,0,1,0,193,10,0,60,10,23921,0,511,300,1153,831,317,5,135,"105Y07M"
10005,苗栗縣,19520,18671,0,22,58,0,0,0,45,7,2,17,2,18206,0,204,108,811,745,65,1,38,"105Y07M"
10007,彰化縣,44715,42775,0,6,4,0,0,0,110,7,0,19,13,42072,0,470,74,1906,1401,503,2,34,"105Y07M"
10008,南投縣,10865,10092,0,16,6,0,0,0,55,0,0,24,17,9760,0,158,56,750,501,242,7,23,"105Y07M"
10009,雲林縣,15823,14583,0,13,56,0,0,0,48,3,1,20,5,14055,0,136,246,1189,688,500,1,51,"105Y07M"
10010,嘉義縣,10575,9556,0,5,2,0,0,0,28,4,1,22,12,9372,8,80,22,997,517,479,1,22,"105Y07M"
10013,屏東縣,13490,12055,0,11,4,0,0,0,61,10,0,36,9,11636,0,237,51,1390,1059,325,6,45,"105Y07M"
10014,臺東縣,2594,2364,0,9,3,0,0,0,30,4,0,22,0,2159,28,60,49,222,169,42,11,8,"105Y07M"
10015,花蓮縣,6204,5699,0,10,3,1,0,0,58,12,4,28,4,5172,0,258,149,482,116,353,13,23,"105Y07M"
10016,澎湖縣,2535,2473,0,0,0,0,0,0,9,0,0,3,0,2410,12,11,28,62,46,15,1,0,"105Y07M"
10017,基隆市,5485,4896,0,21,18,0,0,0,51,3,0,10,3,4524,35,113,118,573,360,198,15,16,"105Y07M"
10018,新竹市,14315,12094,0,146,518,1,1,0,301,8,1,101,4,10281,0,703,29,1921,786,1135,0,300,"105Y07M"
10020,嘉義市,3338,3035,0,18,11,0,0,0,69,3,0,21,8,2835,1,52,17,297,167,129,1,6,"105Y07M"
09020,金門縣,999,894,0,5,0,0,0,0,3,0,0,4,0,808,51,16,7,105,17,87,1,0,"105Y07M"
09007,連江縣,201,188,0,0,0,0,0,0,0,0,0,0,0,162,15,4,7,13,13,0,0,0,"105Y07M"
