COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,99535,90614,0,643,266,3,8,5,1159,66,8,156,61,81625,11,5984,619,8350,3923,4367,60,571,"107Y02M"
63000,臺北市,67429,55776,0,3151,531,15,22,28,2043,95,15,296,28,37755,10,11377,410,8565,2161,6325,79,3088,"107Y02M"
68000,桃園市,113393,110060,0,128,168,2,0,0,377,40,1,68,55,101504,16,7491,210,3034,530,2491,13,299,"107Y02M"
66000,臺中市,99273,92701,0,600,286,2,2,0,1009,67,5,312,98,87528,23,2239,530,5980,2598,3317,65,592,"107Y02M"
67000,臺南市,58651,55367,0,72,171,0,2,2,404,36,1,80,38,52928,43,1312,278,3121,1066,2035,20,163,"107Y02M"
64000,高雄市,63887,57446,0,417,447,2,0,0,799,74,1,186,35,53162,230,1869,224,5943,2547,3362,34,498,"107Y02M"
10002,宜蘭縣,12551,11832,0,7,7,0,0,0,85,6,1,28,9,11493,0,171,25,704,461,237,6,15,"107Y02M"
10004,新竹縣,30693,29132,0,157,222,0,2,0,268,9,0,49,9,27593,0,539,284,1393,848,534,11,168,"107Y02M"
10005,苗栗縣,21367,20687,0,22,63,0,0,0,63,7,1,16,2,19954,0,236,323,644,543,99,2,36,"107Y02M"
10007,彰化縣,50297,48020,0,10,7,0,0,0,144,8,0,26,10,47203,0,470,142,2245,1296,947,2,32,"107Y02M"
10008,南投縣,12075,11288,0,14,7,0,0,0,68,2,0,20,16,10886,0,201,74,771,446,319,6,16,"107Y02M"
10009,雲林縣,18301,16936,0,23,44,0,0,0,67,5,0,25,16,16193,0,320,243,1260,586,671,3,105,"107Y02M"
10010,嘉義縣,12815,11244,0,11,5,0,0,0,39,6,0,21,12,11012,14,93,31,1552,530,1019,3,19,"107Y02M"
10013,屏東縣,15001,13384,0,15,10,0,0,0,68,9,0,50,7,12864,5,272,84,1582,997,578,7,35,"107Y02M"
10014,臺東縣,2670,2460,0,13,4,0,1,0,52,1,0,20,3,2205,27,75,59,192,145,38,9,18,"107Y02M"
10015,花蓮縣,6958,6157,0,16,4,1,0,0,73,11,2,30,1,5470,0,296,253,773,82,676,15,28,"107Y02M"
10016,澎湖縣,2817,2776,0,1,0,0,0,0,16,0,0,1,1,2693,15,15,34,40,26,13,1,1,"107Y02M"
10017,基隆市,6221,5483,0,25,11,0,0,0,50,5,0,7,2,5033,14,168,168,717,269,432,16,21,"107Y02M"
10018,新竹市,16199,13463,0,167,503,3,1,0,400,7,1,104,5,11430,0,810,32,2341,855,1484,2,395,"107Y02M"
10020,嘉義市,3663,3330,0,13,11,0,0,0,65,4,0,32,6,3090,1,78,30,321,153,164,4,12,"107Y02M"
09020,金門縣,1064,1013,0,4,3,0,0,0,17,0,0,2,0,893,50,34,10,50,15,35,0,1,"107Y02M"
09007,連江縣,220,212,0,0,0,0,0,0,0,0,0,0,0,173,27,4,8,8,8,0,0,0,"107Y02M"
