COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,103250,93137,0,659,303,3,8,6,1192,69,9,149,63,83598,11,6333,734,9507,4042,5402,63,606,"107Y04M"
63000,臺北市,69003,56273,0,3130,560,13,21,27,2105,101,14,290,29,37550,9,11997,427,9556,2175,7307,74,3174,"107Y04M"
68000,桃園市,116561,112284,0,129,193,2,0,0,384,42,1,74,60,103150,14,7754,481,3932,541,3378,13,345,"107Y04M"
66000,臺中市,103845,96143,0,589,278,1,4,0,1029,74,4,314,99,90799,23,2353,576,7125,2683,4378,64,577,"107Y04M"
67000,臺南市,60217,56457,0,73,164,0,3,2,404,33,2,76,42,53936,47,1370,305,3590,1088,2481,21,170,"107Y04M"
64000,高雄市,65774,58460,0,398,423,2,0,0,810,67,1,171,41,54115,236,1871,325,6821,2559,4230,32,493,"107Y04M"
10002,宜蘭縣,12772,11996,0,8,5,0,0,0,89,6,0,27,8,11662,0,170,21,759,471,282,6,17,"107Y04M"
10004,新竹縣,31694,29875,0,149,261,0,1,0,269,8,0,46,10,28229,0,544,358,1624,860,753,11,195,"107Y04M"
10005,苗栗縣,21650,20878,0,21,55,0,0,0,69,6,1,12,2,20128,0,258,326,734,526,206,2,38,"107Y04M"
10007,彰化縣,52164,49425,0,11,4,0,0,0,140,8,0,27,10,48582,0,503,140,2700,1349,1348,3,39,"107Y04M"
10008,南投縣,12431,11472,0,15,9,0,0,0,69,2,0,19,17,11054,0,204,83,943,451,485,7,16,"107Y04M"
10009,雲林縣,19143,17437,0,24,44,0,0,0,66,5,0,25,17,16660,0,358,238,1594,596,994,4,112,"107Y04M"
10010,嘉義縣,13425,11633,0,10,5,0,0,0,39,4,0,17,15,11402,14,93,34,1773,560,1210,3,19,"107Y04M"
10013,屏東縣,15613,13812,0,14,10,0,0,0,66,8,0,54,8,13285,4,271,92,1766,1041,718,7,35,"107Y04M"
10014,臺東縣,2720,2490,0,13,5,0,1,0,54,0,0,20,2,2229,26,78,62,212,154,48,10,18,"107Y04M"
10015,花蓮縣,7080,6162,0,12,4,0,0,0,77,11,2,29,4,5443,0,305,275,887,79,794,14,31,"107Y04M"
10016,澎湖縣,2761,2711,0,1,0,0,0,0,17,0,0,1,1,2608,26,19,38,49,27,21,1,1,"107Y04M"
10017,基隆市,6395,5559,0,29,11,0,0,0,53,5,0,6,2,5068,16,170,199,818,277,525,16,18,"107Y04M"
10018,新竹市,17018,13661,0,157,512,2,1,0,428,9,1,114,4,11545,0,845,43,2917,907,2008,2,440,"107Y04M"
10020,嘉義市,3759,3387,0,15,9,0,0,0,73,4,0,29,8,3129,0,90,30,359,152,203,4,13,"107Y04M"
09020,金門縣,1111,1046,0,6,5,0,0,0,17,0,0,3,0,911,53,40,11,64,14,49,1,1,"107Y04M"
09007,連江縣,229,221,0,0,0,0,0,0,0,0,0,0,0,178,28,4,11,8,8,0,0,0,"107Y04M"
