COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,101572,93564,0,548,272,4,4,5,1005,46,3,157,66,84678,16,6053,707,7525,3770,3684,71,483,"108Y01M"
63000,臺北市,61310,53212,1,2424,454,7,22,26,1654,72,7,225,21,38561,10,9297,431,5894,1776,4035,83,2204,"108Y01M"
68000,桃園市,114913,111650,0,125,208,1,1,0,292,38,1,67,52,102957,13,7201,694,2978,543,2420,15,285,"108Y01M"
66000,臺中市,103030,97584,0,483,266,2,2,0,843,58,6,296,94,92631,20,2194,689,4922,2647,2207,68,524,"108Y01M"
67000,臺南市,60754,57706,0,60,120,0,2,1,337,27,0,70,42,55175,48,1377,447,2906,1031,1855,20,142,"108Y01M"
64000,高雄市,66062,59596,0,337,390,1,0,0,663,66,1,174,27,55565,226,1859,287,6031,2465,3531,35,435,"108Y01M"
10002,宜蘭縣,12804,12126,0,11,6,0,0,0,79,9,1,28,6,11797,0,166,23,656,486,162,8,22,"108Y01M"
10004,新竹縣,31222,29472,0,114,193,0,2,0,216,5,0,41,21,27962,0,528,390,1615,769,836,10,135,"108Y01M"
10005,苗栗縣,21261,20423,0,21,46,1,0,0,55,6,2,16,1,19626,0,232,417,812,436,372,4,26,"108Y01M"
10007,彰化縣,52049,49835,0,8,6,0,0,0,111,8,0,27,5,49066,0,483,121,2184,1405,776,3,30,"108Y01M"
10008,南投縣,12689,12054,0,12,5,0,0,0,56,3,0,23,15,11528,0,240,172,621,427,188,6,14,"108Y01M"
10009,雲林縣,19016,18042,0,21,24,0,0,0,55,5,1,20,19,17204,0,482,211,907,500,403,4,67,"108Y01M"
10010,嘉義縣,13589,12009,0,8,2,0,0,0,25,5,0,24,13,11781,12,88,51,1559,585,971,3,21,"108Y01M"
10013,屏東縣,15937,14585,0,12,12,0,0,0,57,8,0,55,10,14116,2,216,97,1318,987,324,7,34,"108Y01M"
10014,臺東縣,2623,2445,0,12,3,0,0,0,37,0,0,22,3,2193,26,90,59,159,133,14,12,19,"108Y01M"
10015,花蓮縣,6719,6226,0,15,5,0,0,0,53,11,3,30,4,5602,0,314,189,470,74,378,18,23,"108Y01M"
10016,澎湖縣,2793,2758,0,1,0,1,0,0,14,0,0,2,1,2657,14,23,45,33,19,13,1,2,"108Y01M"
10017,基隆市,6376,5704,0,21,5,0,0,0,42,4,0,7,2,5217,13,171,222,660,256,387,17,12,"108Y01M"
10018,新竹市,16137,14011,0,125,373,3,1,0,267,5,1,102,5,12385,0,708,36,1849,745,1102,2,277,"108Y01M"
10020,嘉義市,3668,3413,0,14,11,0,0,0,67,3,0,33,4,3157,0,69,55,221,141,75,5,34,"108Y01M"
09020,金門縣,1082,1047,0,3,5,0,0,0,11,0,0,2,2,949,52,12,11,33,17,15,1,2,"108Y01M"
09007,連江縣,235,228,0,0,0,0,0,0,0,0,0,0,0,184,30,3,11,7,7,0,0,0,"108Y01M"
