COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,88859,81653,0,510,234,3,3,4,969,62,4,165,48,74302,0,4980,369,6687,4237,2413,37,519,"105Y01M"
63000,臺北市,60827,51123,0,2896,550,5,25,25,1908,89,13,345,23,35451,3,9494,296,6680,2368,4261,51,3024,"105Y01M"
68000,桃園市,101316,99486,0,104,175,2,0,0,304,34,0,64,53,91864,9,6829,48,1568,451,1109,8,262,"105Y01M"
66000,臺中市,84422,79554,0,606,233,1,3,0,876,63,3,302,59,75323,19,1566,500,4327,2681,1600,46,541,"105Y01M"
67000,臺南市,53471,51204,0,69,159,1,1,2,342,31,3,77,13,49055,14,1292,145,2112,1120,973,19,155,"105Y01M"
64000,高雄市,55528,50829,0,514,365,2,0,0,747,57,1,204,22,47172,272,1358,115,4232,2641,1567,24,467,"105Y01M"
10002,宜蘭縣,11087,10489,0,8,9,0,0,0,79,8,1,36,7,10205,0,117,19,584,439,141,4,14,"105Y01M"
10004,新竹縣,25816,24557,0,104,190,0,0,0,193,9,0,63,12,23237,0,520,229,1119,831,284,4,140,"105Y01M"
10005,苗栗縣,18812,17918,0,22,58,1,0,0,57,6,1,13,4,17495,0,195,66,850,794,55,1,44,"105Y01M"
10007,彰化縣,43384,41746,0,6,6,0,0,0,119,4,0,21,18,41067,1,468,36,1601,1385,215,1,37,"105Y01M"
10008,南投縣,10389,9732,0,16,6,0,0,0,61,1,0,19,19,9434,0,137,39,642,497,137,8,15,"105Y01M"
10009,雲林縣,15257,14188,0,17,77,0,0,0,57,3,1,23,5,13701,0,118,186,991,760,228,3,78,"105Y01M"
10010,嘉義縣,10181,9333,0,7,5,0,0,0,31,4,1,23,9,9143,9,80,21,835,518,316,1,13,"105Y01M"
10013,屏東縣,12851,11494,0,12,6,0,0,0,57,10,1,36,14,11118,0,212,28,1327,1080,241,6,30,"105Y01M"
10014,臺東縣,2548,2325,0,7,2,0,0,0,41,3,1,26,0,2121,23,52,49,210,168,29,13,13,"105Y01M"
10015,花蓮縣,6026,5570,0,6,5,1,0,0,59,11,4,27,1,5064,0,233,159,429,126,289,14,27,"105Y01M"
10016,澎湖縣,2556,2502,0,0,0,0,0,0,15,0,0,4,1,2434,16,9,23,53,50,2,1,1,"105Y01M"
10017,基隆市,5184,4626,0,24,16,0,0,0,48,4,0,13,4,4280,35,94,108,540,396,129,15,18,"105Y01M"
10018,新竹市,14225,12227,0,140,521,1,1,0,334,12,2,99,3,10370,0,731,13,1631,827,804,0,367,"105Y01M"
10020,嘉義市,3318,3044,0,20,10,0,0,0,78,0,0,30,7,2827,0,59,13,268,184,80,4,6,"105Y01M"
09020,金門縣,1013,973,0,6,0,0,0,0,10,0,0,4,0,879,45,22,7,40,16,24,0,0,"105Y01M"
09007,連江縣,196,185,0,0,0,0,0,0,0,0,0,1,0,162,12,3,7,11,11,0,0,0,"105Y01M"
