COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,100258,92096,0,634,272,3,10,4,1095,70,8,146,67,83209,10,5951,617,7633,4025,3549,59,529,"107Y01M"
63000,臺北市,65217,54813,0,3114,547,15,22,27,1888,101,13,298,29,37721,10,10632,396,7411,2143,5195,73,2993,"107Y01M"
68000,桃園市,114205,111434,0,120,176,2,0,0,349,40,1,69,54,102931,16,7499,177,2482,528,1941,13,289,"107Y01M"
66000,臺中市,99959,94327,0,567,299,2,4,0,957,68,5,308,93,89251,22,2223,528,5086,2657,2366,63,546,"107Y01M"
67000,臺南市,58895,56078,0,68,167,0,3,1,358,34,2,75,37,53688,46,1318,281,2654,1077,1557,20,163,"107Y01M"
64000,高雄市,63912,57934,0,403,447,2,0,0,746,78,1,182,36,53816,230,1807,186,5494,2602,2859,33,484,"107Y01M"
10002,宜蘭縣,12662,12003,0,8,8,0,0,0,88,7,1,29,8,11672,0,157,25,645,456,182,7,14,"107Y01M"
10004,新竹縣,30970,29367,0,150,234,0,1,0,240,10,0,51,11,27841,0,544,285,1433,890,532,11,170,"107Y01M"
10005,苗栗縣,21731,21048,0,23,70,0,0,0,66,6,2,17,2,20297,0,236,329,642,572,68,2,41,"107Y01M"
10007,彰化縣,50921,48930,0,11,7,0,0,0,134,7,0,27,9,48121,0,471,143,1958,1318,638,2,33,"107Y01M"
10008,南投縣,12095,11406,0,14,9,0,0,0,64,2,0,22,18,10999,0,207,71,670,466,199,5,19,"107Y01M"
10009,雲林縣,18281,17150,0,23,47,0,0,0,61,4,0,24,16,16418,0,316,241,1052,598,452,2,79,"107Y01M"
10010,嘉義縣,12857,11364,0,10,5,0,0,0,36,5,0,21,13,11141,14,85,34,1475,547,925,3,18,"107Y01M"
10013,屏東縣,14968,13491,0,12,10,0,0,0,61,9,0,51,7,12982,5,271,83,1444,1013,424,7,33,"107Y01M"
10014,臺東縣,2633,2417,0,10,4,0,1,0,36,1,1,19,3,2194,27,66,55,203,157,36,10,13,"107Y01M"
10015,花蓮縣,6621,6102,0,12,4,0,0,0,72,13,3,28,3,5498,0,296,173,494,84,393,17,25,"107Y01M"
10016,澎湖縣,2844,2814,0,1,0,0,0,0,16,0,0,1,0,2725,17,16,38,29,24,4,1,1,"107Y01M"
10017,基隆市,6180,5535,0,29,12,0,0,0,47,5,0,8,2,5072,14,166,180,625,281,327,17,20,"107Y01M"
10018,新竹市,15843,13514,0,169,540,1,1,0,345,8,1,109,5,11501,0,805,29,1956,852,1102,2,373,"107Y01M"
10020,嘉義市,3603,3328,0,10,8,0,0,0,62,5,0,33,7,3094,1,75,33,265,149,112,4,10,"107Y01M"
09020,金門縣,1060,1004,0,5,1,0,0,0,11,0,0,3,0,902,53,20,9,55,13,42,0,1,"107Y01M"
09007,連江縣,223,214,0,0,0,0,0,0,0,0,0,0,0,171,27,4,12,9,9,0,0,0,"107Y01M"
