COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,100118,90414,1,637,254,3,6,2,1121,62,6,164,68,81553,9,5908,620,9074,4139,4875,60,630,"106Y09M"
63000,臺北市,67564,54720,0,3057,520,13,21,26,2004,97,13,301,28,37073,13,11167,387,9664,2142,7458,64,3180,"106Y09M"
68000,桃園市,114062,110179,0,126,150,2,0,0,351,35,1,76,47,101584,14,7569,224,3551,512,3029,10,332,"106Y09M"
66000,臺中市,99535,91844,0,561,276,1,3,0,957,65,3,318,104,86925,16,2064,551,7110,2701,4359,50,581,"106Y09M"
67000,臺南市,59573,55895,0,68,160,0,2,2,398,31,3,73,41,53501,43,1329,244,3498,1123,2358,17,180,"106Y09M"
64000,高雄市,63810,56551,0,426,432,2,0,0,801,80,1,182,36,52442,223,1684,242,6743,2685,4032,26,516,"106Y09M"
10002,宜蘭縣,12525,11752,0,7,8,0,0,0,89,6,1,31,9,11405,0,161,35,756,453,297,6,17,"106Y09M"
10004,新竹縣,30415,28922,0,137,215,0,2,0,255,10,0,56,11,27393,0,555,288,1324,895,421,8,169,"106Y09M"
10005,苗栗縣,21280,20524,0,16,67,0,0,0,63,7,1,18,2,19835,0,230,285,714,597,116,1,42,"106Y09M"
10007,彰化縣,50640,48083,0,10,7,0,0,0,136,7,0,18,11,47264,0,477,153,2525,1292,1231,2,32,"106Y09M"
10008,南投縣,12231,11265,0,17,8,0,0,0,71,2,0,19,16,10862,0,199,71,946,461,479,6,20,"106Y09M"
10009,雲林縣,18268,16656,0,20,39,0,1,0,63,3,0,26,15,15955,0,290,244,1483,620,861,2,129,"106Y09M"
10010,嘉義縣,12766,10964,0,7,5,0,0,0,38,6,0,21,12,10748,11,84,32,1789,546,1241,2,13,"106Y09M"
10013,屏東縣,14917,13152,0,13,7,0,0,0,67,9,0,52,8,12623,5,273,95,1718,1000,713,5,47,"106Y09M"
10014,臺東縣,2681,2433,0,12,2,0,1,0,48,1,1,21,1,2183,30,73,60,230,162,58,10,18,"106Y09M"
10015,花蓮縣,7063,6147,0,13,2,1,0,0,78,12,2,27,3,5459,0,298,252,890,86,791,13,26,"106Y09M"
10016,澎湖縣,2761,2707,0,1,0,0,0,0,19,0,0,1,1,2593,26,17,49,53,30,22,1,1,"106Y09M"
10017,基隆市,6208,5441,0,28,11,0,0,0,56,5,0,9,2,4988,20,156,166,747,308,423,16,20,"106Y09M"
10018,新竹市,16410,13231,0,167,486,1,0,0,398,8,1,103,4,11248,1,779,35,2766,853,1910,3,413,"106Y09M"
10020,嘉義市,3627,3232,0,11,9,0,0,0,71,2,0,32,7,2995,1,72,32,383,156,225,2,12,"106Y09M"
09020,金門縣,1095,989,0,6,1,0,0,0,12,0,0,2,0,867,56,34,11,106,15,91,0,0,"106Y09M"
09007,連江縣,222,213,0,0,0,0,0,0,0,0,0,0,0,173,26,3,11,9,9,0,0,0,"106Y09M"
